Prompt,Negative,Neutral,Positive,Compound
robot clock monster ink black and white mike mignola  ,0.0,1.0,0.0,0.0
Little wolf friends laughing and sleeping under the stars PIXAR STYLE  Complex Detail  Animation Lighting  3D rendering  c4d  blender  32K  v5  ,0.0,0.767,0.233,0.6964
titatinc movie poster with a wine bottle instead of the boat inside the poster,0.0,1.0,0.0,0.0
ExternalUrl  Close up of King Alexander with pink hair and makeup  a character portrait by Amos Ferguson  tumblr contest winner  rococo  studio portrait  contest winner  white background  ,0.0,0.759,0.241,0.8225
gabbys dollhouse funny photo,0.0,0.508,0.492,0.4404
Tom Brays Brookline home in cheerful carton colors  hyper realistic with flowers and vibrant trees and grounds  ,0.0,0.685,0.315,0.7845
future fighter in boxing gloves  mad max style  angry  bad  evil  ready to fight  photorealistic  8k   from profile,0.53,0.343,0.128,-0.9313
Lost baby in the city  holding a camera and a map  white background  cartoon style,0.161,0.839,0.0,-0.3182
A metallic grey 2023 model fiat 500 with an array of solar panels on the roof  The solar panels are approximately 10cm x10cm by size  The car is in a studio environment with white background and the angle is mostly showing the roof from the side  The solar panels have mirror like finnish with purple hue   ,0.0,0.934,0.066,0.4019
photo of a person that climbs under a rain of stones,0.0,1.0,0.0,0.0
Glade  in the foreground there could be several multi colored flowers hinting at a bright and diverse nature  The background should be a mixture of greens and blues  with a few trees and bushes ,0.0,0.912,0.088,0.4404
blue eyed  fair skinned and long blond haired handsome make dj with large glasses and hoodie with heart print as POP! Doll v5,0.0,0.784,0.216,0.6996
Two tone picture of Steve Jobs and Steve Wozniak  ,0.0,1.0,0.0,0.0
logo for a transport company with a bird origami style as focus named `Alee & Puiu Express LTD` keep it simple and with a white background,0.0,1.0,0.0,0.0
photorealistic orange cat curled up on a bed in the sun  ,0.0,1.0,0.0,0.0
a cartoon white castle in the design of Glen Keane  q 2 v 5  ,0.0,1.0,0.0,0.0
a fantastic backdrop for the site of an event agency that organizes expensive parties  Luxury  holiday and fun  beautiful girls at the party,0.0,0.458,0.542,0.9578
the Adaptiv Systema logo in under a violet sunshine,0.0,0.686,0.314,0.4939
realistic beautiful female elf with pointy ears and black wavy long hair and crystal blue eyes in front of a church wearing a yellow dress and holding a crossbow,0.0,0.865,0.135,0.5994
haute couture styled by Gucci woman sitting next on the Honda Magna motorcycle  next to the swimming pool  golden hour lighting  120mm portra film color Guy Bourdin photography style  Mamiya Press camera with a 100mm f/3 5 lens  f/3 5 aperture  shutter speed 1/200s  ISO 100 and natural light  Full Body  Hyper Realistic Photography  Cinematic  Cinema  Hyperdetail ,0.0,0.955,0.045,0.3612
summer beach patter  ,0.0,1.0,0.0,0.0
young wizard surrounded by friendly slimes  fantasy  anime style  cute  bright  forest  high detail  8k,0.0,0.569,0.431,0.8442
potorealistic fight in court,0.464,0.536,0.0,-0.3818
image of beautiful pregnant woman reclining on a chaise lounge  She is wearing a long flowing ethereal light blue gown that drapes over the chaise  She has long brown hair  Fantasy style ,0.0,0.881,0.119,0.5994
a demon removing an alien grey mask from its face  ,0.0,0.87,0.13,0.0516
photorealistic picture of donald Trump kissing Joe Biden while they are dressed in tuxedos dancing to romantic light in the oval office,0.0,0.758,0.242,0.7506
a photorealistic picture of Donald Trump on a tiger firing a shotgun  The tiger is jumping millions of kilometers into the air into space  ,0.107,0.893,0.0,-0.34
Velocity blue Ford Raptor on a mountain off road trail on the moon or mars spectacular detail and hyper realistic,0.0,1.0,0.0,0.0
samurai ron paul sunset,0.0,1.0,0.0,0.0
Flying honeybees and flowers formed to heart  white background  combination of watercolours and realistic,0.0,1.0,0.0,0.0
military patch  special forces  vector icons  keyboard with lightning on top of it  2D  minimal ,0.0,0.743,0.257,0.5423
crazy and wild portrait of a scandinavian looking 25yo woman by the lake in shallow water  wide angel 16mm  cinematic lighting   ,0.112,0.888,0.0,-0.34
hyperrealistic humanoid scary criature that is completely black with darker eyes  staring at the camera from a corner with one hand on the wall  The point of view is at the end of a hallway  Its night and the lights are off ,0.072,0.856,0.072,0.0
cartoon style sticker of a glass of rum  vector,0.0,1.0,0.0,0.0
lineup of electric vehicles  ,0.0,1.0,0.0,0.0
brick wall background with library and plant with an outside view,0.0,1.0,0.0,0.0
a long low elegant bridge spanning through a desert wadi on the coast of Arabia,0.13,0.679,0.191,0.25
By designing landscapes with natural slopes and strategically placed vegetation  we can direct water flow and promote efficient stormwater management   ,0.0,0.683,0.317,0.7845
ExternalUrl  Young boy playing basketball like michael jordan  action pose  speediness,0.0,0.677,0.323,0.5106
a realistic white transit bus with people boarding from right front door at a bus stop in a metropolitan city,0.121,0.879,0.0,-0.296
3D design representing sports  abstract  minimalistic  blue  ,0.0,1.0,0.0,0.0
Cover your mouth and keep quiet  fear is knocking on the door again,0.211,0.789,0.0,-0.4939
Create an image for a childrens book of a group of neighbor kids of Warren Buffett owning stocks in a company  and watching the value of their shares increase over time  The neighbor kids should be depicted in a fun and playful drawing style  with distinct personalities and characteristics that complement each other  They should be holding stock certificates or other evidence of their ownership in a company  and working together to track the value of their shares  In the background  you could depict a neighborhood or community setting  such as a park or playground  filled with playful animals and colorful objects  The value of the stocks could be depicted through a chart or graph  showing the increase in value over time  The overall tone of the image should be one of ownership and learning  conveying the idea that anyone can become a shareholder in a company and benefit from its success  You could also include explanations or definitions of key terms related to stocks  such as dividends  capital gains  and shareholder meetings  in a way that is accessible and easy for 8 year olds to understand  To make the image even more engaging  you could include playful elements such as a treasure hunt or a scavenger hunt  where the neighbor kids need to search for clues or objects related to stocks or investing  This would create a sense of adventure and excitement  while also reinforcing the importance of financial literacy and responsible investing   ,0.0,0.768,0.232,0.9948
Movie poster of a young woman discovering a new higher dimensional world  light  mandalas  fractals  long blond hair  wide angle shot  no text  in style of Alphonse Mucha  ,0.081,0.919,0.0,-0.296
KobaLaD hyperrealistic,0.0,1.0,0.0,0.0
a website that highlights the local food and drink products and sustainable agriculture  featuring testimonials from local farmers  residents  and visitors in rural area  UK  Ultrarealistic  lighttracing  open on website for full quality   ,0.0,1.0,0.0,0.0
ExternalUrl  simple avatar  pixar  3d rendering  flat white gradient background  ,0.0,1.0,0.0,0.0
a fantasy dwarf is frying his axe in butter over an open fire in a frying pan,0.226,0.774,0.0,-0.4215
photo surfer chest vandalized style pop art bright colors  4 k   ,0.0,0.734,0.266,0.4404
japanese ninja mask  fog  dark atmosphere  ray tracing  highly detailed  UHD  8K   ,0.0,1.0,0.0,0.0
brainbow illuminated,0.0,1.0,0.0,0.0
As the sun began to set  the female anime character with cute zebra onesie  purple long curly hair  and blue eyes stopped to catch her breath  She pulled out her phone and typed out a text to her friend  hoping for some encouragement to keep going Hey there! Its me  your favorite zebra girl  Just wanted to check in and say hi  This journey is tougher than I expected  but Im hanging in there  Do you have any words of wisdom to keep me going?,0.016,0.81,0.174,0.9134
four puzzle pieces fitting together to form the idea of a happy family,0.0,0.748,0.252,0.5719
spooky alcatraz island  native american  ohlone  spirits,0.0,1.0,0.0,0.0
human skeleton detailed sketch,0.0,1.0,0.0,0.0
logo showing a space ship traveling around an alien planet in a minimalist art style  ,0.0,1.0,0.0,0.0
fat woman laying on a procedure table  with ultrasound transducer on her abdomen,0.0,1.0,0.0,0.0
ExternalUrl  Create a digital illustration that depicts the strong and resilient tree standing tall in the barren landscape where it was once planted as a small and determined seed  The tree should be the focal point of the image  with its branches stretching upwards and its roots firmly planted in the ground  The image should convey a sense of strength and perseverance  with bright and bold colors to emphasize the success that the tree has achieved through its unwavering determination and hard work  The background should be kept simple to draw attention to the tree  and the overall tone should be positive and inspiring  to reinforce the message that even in the toughest of circumstances  with hard work and perseverance  we can achieve great things   ,0.028,0.742,0.23,0.9839
a logo for a solid cosmetic manufacturing company that embodies a clever play on words  connecting the concept of solid with a strong  visually impactful design and a substantial essence  The logo should radiate a solid feminine energy  using pastel colors to create a sense of strength and stability   ,0.0,0.585,0.415,0.9565
a girl who looks like Jessica rabbit who pose like a chola girl,0.0,0.643,0.357,0.6124
A young male wizard with red hair wearing red robes  glasses  and a brimless pointed red hat  wielding a short wand; 90s JRPG concept art  colored pencil illustration  white background ,0.0,1.0,0.0,0.0
The state of Florida as a super villain  alligator  florida man  water  everglades  4k  realistic,0.185,0.615,0.2,0.0772
street in 1920s  rtx on  hyper realistic  one person is melting into the floor ,0.0,1.0,0.0,0.0
3 d model  boardroom  diverse people sitting around table  fancy paper art,0.0,1.0,0.0,0.0
cubism photography  with shoes  dresses  jeans  rings  hearts  realism,0.0,1.0,0.0,0.0
street in Utrecht in 1964  people and cars  ,0.0,1.0,0.0,0.0
beatiful swedish Skane location landscape  sunset motorboat Buster on the water  hyper realistic photograph taken with a Canon dslr and a 50mm prime lens  cinematic,0.0,1.0,0.0,0.0
tekashi the rapper wearing a cuban flag sweater giving out money to people on the streets photorealistic 4k,0.0,0.87,0.13,0.34
a group of young recent graduate Israeli males and females  sitting in front of laptops at a modern workspaces  they are all very satisfid from their work  conveying the message that they are actively pursuing their goals in the high tech industry  also includes modern technology gadgets  ,0.0,0.95,0.05,0.3182
logo Screamphony car  pop colors  neon  169,0.0,1.0,0.0,0.0
The style of the old video of the 90s VHS  Three friends are lying on the same bed in a blanket and watching an old TV on which Ilham Aliyev speaks  An old Soviet apartment with a Soviet interior  From left to right A fat Azerbaijani teenager with a funny face and an open mouth  an informal with a hairstyle like Viktor Tsoi  and a teenager with glasses who have one point a blue headband  ,0.045,0.843,0.112,0.6249
D&D Gwent style sorceress in blue robes with blonde hair levitating books across her study,0.0,1.0,0.0,0.0
ExternalUrl  Samus Aran  ,0.0,1.0,0.0,0.0
people doing aqua zumba indoor swimming pool,0.0,1.0,0.0,0.0
ocean deep  space invader down under  4k   ,0.0,1.0,0.0,0.0
Gothic  circular  exterior  black and red color scheme  dark atmosphere  rose petals and bats floating in the air  169 aspect ratio  3D texture ,0.0,1.0,0.0,0.0
ExternalUrl  ExternalUrl e profile  a mixture of two faces  profile  man is twenty three years old  8k  HD  cinematography  photorealistic  epic composition Unreal Engine  Cinematic  Color Grading  portrait Photography  Ultra Wide Angle  Depth of Field  hyper detailed  beautifully color coded  insane details  intricate details  beautifully color graded  Unreal Engine  Cinematic  Color Grading  Editorial Photography  Photography  Photoshoot  Depth of Field  DOF  Tilt Blur  White Balance  32k  Super Resolution  Megapixel  ProPhoto RGB  VR  Halfrear Lighting  Backlight  Natural Lighting  Incandescent  Optical Fiber  Moody Lighting  Cinematic Lighting  Studio Lighting  Soft Lighting  Volumetric  Contre Jour  Beautiful Lighting  Accent Lighting  Global Illumination  Screen Space Global Illumination  Ray Tracing Global Illumination  Optics  Scattering  Glowing  Shadows  Rough  Shimmering  Ray Tracing Reflections  Lumen Reflections  Screen Space Reflections  Diffraction Grading  Chromatic Aberration  GB Displacement  Scan Lines  Ray Traced  Ray Tracing Ambient Occlusion  Anti Aliasing  FKAA  TXAA  RTX  SSAO  Shaders  OpenGL Shaders  GLSL Shaders  Post Processing  Post Production  Cel Shading  Tone Mapping  CGI  VFX  SFX  insanely detailed and intricate  hypermaximalist  elegant  hyper realistic  super detailed  dynamic pose  photography cinematic  intense  cinematic composition + intricate detailed  cinematic lighting + rim lighting + color grading + focus + bokeh  1X + Unsplash + 500px  taken by Canon EOS R5 RF85mm F1 8 MACRO lens 1/100sec ISO100   ,0.034,0.813,0.153,0.9747
